1,0,2,1
0,2,3,1
0,3,4,0
4,1,6,1
6,0,7,0
0,7,8,0
0,1,2,1
1,0,2,1
2,2,5,1
0,1,2,1
1,2,4,1
5,4,10,1
10,0,11,0
1,11,13,0
0,1,2,1
2,0,3,1
1,3,5,1
1,0,2,1
0,2,3,1
5,3,9,1
1,0,2,1
2,0,3,1
1,3,5,1
9,5,15,1
0,1,2,1
1,2,4,1
0,1,2,1
4,2,7,1
15,7,23,1
1,23,25,0
13,25,39,1
0,1,2,1
0,2,3,1
3,0,4,0
0,1,2,1
0,2,3,1
3,1,5,1
1,5,7,1
1,7,9,0
4,9,14,1
0,1,2,1
2,0,3,1
0,3,4,0
0,1,2,1
2,0,3,1
1,3,5,1
5,0,6,0
1,0,2,1
1,1,3,1
2,3,6,1
6,6,13,1
4,13,18,1
14,18,33,1
39,33,73,1
1,1,3,1
73,3,77,0
77,0,78,0
8,78,87,0
1,1,3,1
1,0,2,1
0,2,3,1
3,0,4,0
4,0,5,0
5,1,7,1
7,1,9,0
3,9,13,1
1,1,3,1
0,1,2,1
0,1,2,1
1,2,4,1
0,1,2,1
2,0,3,1
4,3,8,1
8,0,9,0
2,9,12,0
3,12,16,0
1,1,3,1
0,1,2,1
1,2,4,1
4,1,6,1
0,1,2,1
2,1,4,1
6,4,11,1
3,11,15,1
15,1,17,0
16,17,34,1
34,0,35,0
13,35,49,1
1,1,3,1
1,3,5,1
0,5,6,0
1,1,3,1
0,1,2,1
3,2,6,1
6,6,13,1
0,1,2,1
2,0,3,1
3,0,4,0
1,4,6,1
6,1,8,0
1,8,10,0
0,10,11,0
1,0,2,1
0,1,2,1
2,0,3,1
0,1,2,1
0,1,2,1
2,2,5,1
3,5,9,1
9,0,10,0
10,0,11,0
2,11,14,0
14,1,16,0
0,16,17,0
0,1,2,1
1,0,2,1
2,0,3,1
2,3,6,1
1,1,3,1
3,0,4,0
6,4,11,1
17,11,29,1
11,29,41,1
13,41,55,1
1,1,3,1
1,1,3,1
0,1,2,1
3,2,6,1
6,0,7,0
3,7,11,1
1,0,2,1
2,0,3,1
3,0,4,0
